year,make,model,trim
2012,Acura,MDX,MDX 4WD
2012,Acura,RDX,RDX 2WD
2012,Acura,RDX,RDX 4WD
2012,Acura,RL,RL
2012,Acura,TL,TL 2WD
2012,Acura,TL,TL 4WD
2012,Acura,TSX,TSX
2012,Acura,TSX,TSX Wagon
2012,Acura,ZDX,ZDX 4WD
2012,Aston Martin,DB9,DB9
2012,Aston Martin,DBS,DBS
2012,Aston Martin,Rapide,Rapide
2012,Aston Martin,Vantage,V12 Vantage
2012,Aston Martin,Vantage,V8 Vantage
2012,Aston Martin,Vantage,V8 Vantage S
2012,Aston Martin,Virage,Virage
2012,Audi,A3,A3
2012,Audi,A3,A3 quattro
2012,Audi,A4,A4
2012,Audi,A4,A4 Avant quattro
2012,Audi,A4,A4 quattro
2012,Audi,A5,A5 Cabriolet
2012,Audi,A5,A5 Cabriolet quattro
2012,Audi,A5,A5 quattro
2012,Audi,A6,A6
2012,Audi,A6,A6 quattro
2012,Audi,A7,A7 quattro
2012,Audi,A8,A8
2012,Audi,A8,A8 L
2012,Audi,Q5,Q5
2012,Audi,Q7,Q7
2012,Audi,R8,R8
2012,Audi,R8 Spyder,R8 Spyder
2012,Audi,S4,S4
2012,Audi,S5,S5
2012,Audi,S5,S5 Cabriolet
2012,Audi,TT Coupe,TT Coupe quattro
2012,Audi,TT Coupe,TT RS Coupe
2012,Audi,TT Roadster,TT Roadster quattro
2012,Azure Dynamics,Transit Connect Electric Van/Wagon,Transit Connect Electric Van/Wagon
2012,Bentley,Continental,Continental GT
2012,Bentley,Continental,Continental GTC
2012,Bentley,Continental Flying Spur,Continental Flying Spur
2012,Bentley,Continental Supersports,Continental Supersports
2012,Bentley,Continental Supersports Convertible,Continental Supersports Convertible
2012,Bentley,Mulsanne,Mulsanne
2012,BMW,1 Series,128ci Convertible
2012,BMW,1 Series,128i
2012,BMW,1 Series,135i
2012,BMW,1 Series,135i Convertible
2012,BMW,3 Series,328ci Convertible
2012,BMW,3 Series,328i
2012,BMW,3 Series,328i Coupe
2012,BMW,3 Series,328i Coupe xDrive
2012,BMW,3 Series,328i Sport Wagon
2012,BMW,3 Series,328i xDrive Sport Wagon
2012,BMW,3 Series,335ci Convertible
2012,BMW,3 Series,335i
2012,BMW,3 Series,335i Coupe
2012,BMW,3 Series,335i Coupe xDrive
2012,BMW,3 Series,335is Convertible
2012,BMW,3 Series,335is Coupe
2012,BMW,5 Series,528i
2012,BMW,5 Series,528i xDrive
2012,BMW,5 Series,535i
2012,BMW,5 Series,535i Gran Turismo
2012,BMW,5 Series,535i xDrive
2012,BMW,5 Series,535i xDrive Gran Turismo
2012,BMW,5 Series,550i
2012,BMW,5 Series,550i Gran Turismo
2012,BMW,5 Series,550i xDrive
2012,BMW,5 Series,550i xDrive Gran Turismo
2012,BMW,5 Series,ActiveHybrid 5
2012,BMW,6 Series,640i Convertible
2012,BMW,6 Series,640i Coupe
2012,BMW,6 Series,650i Convertible
2012,BMW,6 Series,650i Convertible xDrive
2012,BMW,6 Series,650i Coupe
2012,BMW,6 Series,650i Coupe xDrive
2012,BMW,7 Series,740i
2012,BMW,7 Series,740Li
2012,BMW,7 Series,750i
2012,BMW,7 Series,750i xDrive
2012,BMW,7 Series,750Li
2012,BMW,7 Series,750Li xDrive
2012,BMW,7 Series,760Li
2012,BMW,7 Series,ActiveHybrid 7
2012,BMW,7 Series,ActiveHybrid 7L
2012,BMW,7 Series,Alpina B7 LWB
2012,BMW,7 Series,Alpina B7 LWB xDrive
2012,BMW,7 Series,Alpina B7 SWB
2012,BMW,7 Series,Alpina B7 SWB xDrive
2012,BMW,M,M3 Convertible
2012,BMW,M,M3 Coupe
2012,BMW,M,M6 Convertible
2012,BMW,X3,X3 xDrive28i
2012,BMW,X3,X3 xDrive35i
2012,BMW,X5,X5 xDrive35d
2012,BMW,X5,X5 xDrive35i
2012,BMW,X5,X5 xDrive50i
2012,BMW,X5,X5 xDriveM
2012,BMW,X6,X6 xDrive35i
2012,BMW,X6,X6 xDrive50i
2012,BMW,X6,X6 xDriveM
2012,BMW,Z4,Z4 sDrive28i
2012,BMW,Z4,Z4 sDrive35i
2012,BMW,Z4,Z4 sDrive35is
2012,Bugatti,Veyron,Veyron
2012,Buick,Enclave,Enclave AWD
2012,Buick,Enclave,Enclave FWD
2012,Buick,LaCrosse,LaCrosse
2012,Buick,LaCrosse,LaCrosse AWD
2012,Buick,LaCrosse,LaCrosse eAssist
2012,Buick,Regal,Regal
2012,Buick,Regal,Regal eAssist
2012,Buick,Verano,Verano
2012,BYD,e6,e6
2012,Cadillac,CTS,CTS
2012,Cadillac,CTS,CTS AWD
2012,Cadillac,CTS,CTS Wagon
2012,Cadillac,CTS,CTS Wagon AWD
2012,Cadillac,Escalade,Escalade 2WD
2012,Cadillac,Escalade,Escalade AWD
2012,Cadillac,Escalade,Escalade ESV 2WD
2012,Cadillac,Escalade,Escalade ESV AWD
2012,Cadillac,Escalade,Escalade Ext AWD
